Name,PriceM,PriceL,Desc,Address,Tel,Estd,PImage,Datev,Lat,Lon,Catg,Rating,Puntos
Exploración en motocicleta terrestre,159.77,199.29,Odit perferendis doloribus nobis numquam quibusdam voluptas.,"Calle México 752 737
Vieja Austria, TAMPS 24147",+65(8)4593814461,Isla Holbox,https://placekitten.com/564/625,2024-03-02,-76.2196285,18.043821,acuático,2.4,7
Escalada en roca terrestre,177.32,262.9,Temporibus praesentium vero repudiandae eligendi consectetur natus perferendis.,"Andador Tlaxcala 709 Interior 628
Vieja Somalia, MEX 94683",1-910-730-6603x754,Los Cabos,https://dummyimage.com/1004x286,2024-01-15,-8.464441,167.043613,aéreo,3.1,10
Escalada en roca terrestre,181.33,270.36,Sapiente nostrum iure fugiat recusandae voluptate.,"Periférico Norte Archuleta 260 Edif. 673 , Depto. 286
Nueva Bahrein, DGO 19617",788-931-6279x7824,Puerto Morelos,https://picsum.photos/609/440,2024-01-13,13.300093,-127.409414,acuático,2.2,2
Exploración en motocicleta terrestre,175.13,232.88,Minus esse quasi adipisci exercitationem magnam aliquam.,"Continuación Zimbabwe 971 Edif. 825 , Depto. 721
San Rufino de la Montaña, SON 25937-0741",667.864.3398x423,Acapulco,https://dummyimage.com/65x959,2024-02-21,-69.808998,17.999061,aéreo,2.9,9
Escalada en roca terrestre,98.37,123.81,Repellendus quas atque exercitationem ab.,"Calle Chihuahua 464 Interior 176
San Natividad los altos, MEX 62763",02645909938,Zihuatanejo,https://placekitten.com/994/497,2024-02-12,84.754777,-127.852260,terrestre,3.3,7
Barranquismo terrestre,79.15,115.78,Itaque accusantium iste similique repellat.,"Andador Ceja 730 Interior 873
Nueva Malawi, NL 43286-6463",989-910-6259x9417,Puerto Escondido,https://dummyimage.com/413x141,2024-02-09,67.301475,-138.339481,aéreo,2.9,6
Escalada en roca terrestre,121.37,166.12,Fuga voluptatum tempora sapiente reprehenderit quam quae dicta.,"Calzada Chad 263 470
San Alfonso los altos, GTO 19462",1-585-475-7763x3840,Puerto Vallarta,https://picsum.photos/248/706,2024-01-14,-65.0834315,-6.365230,acuático,3.9,10
Surf de remo en ríos acuático,183.5,267.06,Eum officia cupiditate ratione magnam.,"Diagonal Viera 061 Edif. 193 , Depto. 238
Nueva Dinamarca, TAB 03440-6125",+02(6)1925778869,Puerto Escondido,https://dummyimage.com/478x447,2024-02-17,23.394616,48.283047,terrestre,4.9,2
Paracaidismo aéreo,55.77,74.55,Officia eligendi nisi dicta exercitationem.,"Boulevard Durango 768 Edif. 077 , Depto. 458
Nueva Lesotho, MEX 27729-9596",1-592-079-1124,Los Cabos,https://dummyimage.com/111x589,2024-02-07,-50.3747495,27.699943,terrestre,4.4,4
Descenso en rápidos acuático,122.3,139.44,Eos id perspiciatis.,"Pasaje Sur Cazares 700 Edif. 622 , Depto. 134
San Concepción de la Montaña, NAY 66279",(218)200-1032x60088,Puerto Morelos,https://placekitten.com/668/875,2024-01-05,-41.9597115,-108.121082,terrestre,4.3,10
Rapel en cascadas terrestre,197.2,253.12,Aut reprehenderit corrupti.,"Pasaje Campeche 002 Edif. 450 , Depto. 082
San Silvia los altos, TLAX 10124-3416",+32(9)0747796842,Acapulco,https://placekitten.com/567/468,2024-01-18,-4.1831895,163.999236,terrestre,4.5,8
Ala delta en acantilados aéreo,150.28,186.16,Inventore unde repellendus distinctio ipsum.,"Andador Sur Madrigal 726 066
San Antonia los bajos, OAX 18240-9933",1-125-512-7885x1576,Tulum,https://picsum.photos/325/113,2024-02-11,82.7337415,-97.161361,acuático,3.4,3
Descenso en rápidos acuático,147.05,183.39,Nulla maxime id placeat.,"Privada Sur Gálvez 218 195
Nueva Vietman, QRO 65396",464.202.4890,Manzanillo,https://picsum.photos/424/81,2024-02-26,83.8773505,-144.702182,acuático,4.4,9
Surf de remo en ríos acuático,188.3,256.88,Recusandae totam dolor maxime aut.,"Callejón Norte Vásquez 896 Interior 147
San Pedro los bajos, TLAX 98687-8355",+71(8)2851539064,Cozumel,https://picsum.photos/484/244,2024-02-07,-84.525369,-170.918761,aéreo,1.4,9
Tirolesa sobre cañones terrestre,120.98,143.92,Consequatur tempore hic fugiat corrupti aliquam labore.,"Diagonal Ecuador 192 Interior 540
San Cristobal de la Montaña, TAMPS 23357-7387",04946191691,Tulum,https://picsum.photos/390/305,2024-02-02,28.2410035,-159.578984,terrestre,3.1,5
Paracaidismo aéreo,193.64,250.84,Commodi dolorum quia tempore tenetur.,"Prolongación Sur de Anda 099 801
Nueva República Democrática Popular Lao, COL 50523-0449",(714)513-9682x540,Isla Holbox,https://picsum.photos/259/679,2024-03-01,-39.5921265,-45.835426,terrestre,1.9,1
Escalada en roca terrestre,140.43,183.43,Saepe est totam.,"Circuito Sur Rodríguez 990 Interior 404
Nueva China, MEX 65644",370.770.0748x5090,Puerto Vallarta,https://picsum.photos/411/310,2024-01-24,10.791961,-92.759909,terrestre,1.1,9
Espeleología en grutas terrestre,70.15,90.5,Omnis non eligendi reprehenderit inventore nostrum ex.,"Eje vial Páez 199 828
San Federico de la Montaña, GTO 38586",01716716745,Tulum,https://placekitten.com/266/708,2024-02-09,71.7716885,0.471760,acuático,4.6,3
